No,PTNBH,Singkatan,Website,Laman Judol
1,Universitas Indonesia (UI),UI,ui.ac.id,8
2,Institut Teknologi Bandung (ITB),ITB,itb.ac.id,1
3,Institut Pertanian Bogor (IPB),IPB,ipb.ac.id,3
4,Universitas Gadjah Mada (UGM),UGM,ugm.ac.id,0
5,Institut Teknologi Sepuluh Nopember (ITS),ITS,its.ac.id,5
6,Universitas Padjadjaran (Unpad),UNPAD,unpad.ac.id,6
7,Universitas Diponegoro (Undip),UNDIP,undip.ac.id,5
8,Universitas Airlangga (Unair),UNAIR,unair.ac.id,2
9,Universitas Brawijaya (UB),UB,ub.ac.id,6
10,Universitas Sumatera Utara (USU),USU,usu.ac.id,1
11,Universitas Hasanuddin (Unhas),UNHAS,unhas.ac.id,1
12,Universitas Sebelas Maret (UNS),UNS,uns.ac.id,2
13,Universitas Pendidikan Indonesia (UPI),UPI,upi.ac.id,1
14,Universitas Negeri Malang (UM),UM,um.ac.id,0
15,Universitas Andalas (Unand),UNAND,unand.ac.id,1
16,Universitas Negeri Padang (UNP),UNP,unp.ac.id,1
17,Universitas Negeri Semarang (Unnes),UNNES,unnes.ac.id,0
18,Universitas Negeri Surabaya (Unesa),UNESA,unesa.ac.id,0
19,Universitas Syiah Kuala (USK),USK,usk.ac.id,0
20,Universitas Terbuka (UT),UT,ut.ac.id,0
21,Universitas Negeri Yogyakarta (UNY),UNY,uny.ac.id,1
